Facility Code,Participant Code,Facility Code,Facility Code
DNHR_DENMARK_WF1,DNHR,DCWL_DENMARK_WF1,DNHR_DENMARK_WF1
COLLGAR_WF1,COLLGAR,INVESTEC_COLLGAR_WF1,COLLGAR_WF1
AURICON_PNJ_U1,AURICON,ALINTA_PNJ_U1,AURICON_PNJ_U1
MELK_G7,MELK,MUJA_G7,MELK_G7
MELK_G6,MELK,MUJA_G6,MELK_G6
MELK_G5,MELK,MUJA_G5,MELK_G5
TIWEST_COG1,TRMOS,TIWEST_COG1,TIWEST_COG1
WEST_KALGOORLIE_GT2,WGUTD,WEST_KALGOORLIE_GT2,WEST_KALGOORLIE_GT2
KORL_GT3,KORL,KWINANA_GT3,KORL_GT3
COLLGAR_CCG1,COLLGAR,COCKBURN_CCG1,COLLGAR_CCG1
PJRH_GT11,PJRH,PINJAR_GT11,PJRH_GT11
AUXC_WGP,AUXC,ALCOA_WGP,AUXC_WGP
STHRNCRS_EG,STHRNCRS,STHRNCRS_EG,STHRNCRS_EG
AURICON_WGP_GT,AURICON,ALINTA_WGP_GT,AURICON_WGP_GT
AURICON_PNJ_U2,AURICON,ALINTA_PNJ_U2,AURICON_PNJ_U2
AURICON_WWF,AURICON,ALINTA_WWF,AURICON_WWF
AURICON_WGP_U2,AURICON,ALINTA_WGP_U2,AURICON_WGP_U2
KORL_GT2,KORL,KWINANA_GT2,KORL_GT2
PJRH_GT9,PJRH,PINJAR_GT9,PJRH_GT9
PJRH_GT10,PJRH,PINJAR_GT10,PJRH_GT10
TESLA_PICTON_G1,TSLA_MGT,TESLA_PICTON_G1,TESLA_PICTON_G1
PMC_AG,PMC,PRK_AG,PMC_AG
MELK_G8,MELK,MUJA_G8,MELK_G8
NEWGEN_KORL_CCG1,PMC,NEWGEN_KWINANA_CCG1,NEWGEN_KORL_CCG1
PERTHENERGY_KORL_GT1,PUG,PERTHENERGY_KWINANA_GT1,PERTHENERGY_KORL_GT1
MWF_MUMBIDA_WF1,MCG,MWF_MUMBIDA_WF1,MWF_MUMBIDA_WF1
PJRH_GT7,PJRH,PINJAR_GT7,PJRH_GT7
EDWFMAN_WF1,TSLA_MGT,EDWFMAN_WF1,EDWFMAN_WF1
MELK_G4,MELK,MUJA_G4,MELK_G4
MELK_G3,MELK,MUJA_G3,MELK_G3
MELK_G2,MELK,MUJA_G2,MELK_G2
MELK_G1,MELK,MUJA_G1,MELK_G1
BW1_GREENWATERS_G2,GW,BW1_BLUEWATERS_G2,BW1_GREENWATERS_G2
COLLIE_G1,MELK,COLLIE_G1,COLLIE_G1
NAMKKN_MERR_SG1,GW,NAMKKN_MERR_SG1,NAMKKN_MERR_SG1
PJRH_GT5,PJRH,PINJAR_GT5,PJRH_GT5
GRASMERE_WF1,EUCT,GRASMERE_WF1,GRASMERE_WF1
ALBANY_WF1,EUCT,ALBANY_WF1,ALBANY_WF1
PJRH_GT4,PJRH,PINJAR_GT4,PJRH_GT4
TESLA_GERALDTON_G1,TSLA_MGT,TESLA_GERALDTON_G1,TESLA_GERALDTON_G1
PJRH_GT3,PJRH,PINJAR_GT3,PJRH_GT3
TESLA_NORTHAM_G1,TSLA_MGT,TESLA_NORTHAM_G1,TESLA_NORTHAM_G1
MUNDARING_GT1,MUND,MUNGARRA_GT1,MUNDARING_GT1
MUNDARING_GT3,MUND,MUNGARRA_GT3,MUNDARING_GT3
MUNDARING_GT2,MUND,MUNGARRA_GT2,MUNDARING_GT2
PJRH_GT2,PJRH,PINJAR_GT2,PJRH_GT2
PJRH_GT1,PJRH,PINJAR_GT1,PJRH_GT1
BW2_GREENWATERS_G1,GW,BW2_BLUEWATERS_G1,BW2_GREENWATERS_G1
NEWGEN_NEERABUP_GT1,GW,NEWGEN_NEERABUP_GT1,NEWGEN_NEERABUP_GT1
SKYFRM_MTBARKER_WF1,GW,SKYFRM_MTBARKER_WF1,SKYFRM_MTBARKER_WF1
KEMERTON_GT12,GW,KEMERTON_GT12,KEMERTON_GT12
KEMERTON_GT11,GW,KEMERTON_GT11,KEMERTON_GT11
SYNERGY_SIMCOA_IL4,GW,SYNERGY_SIMCOA_IL4,SYNERGY_SIMCOA_IL4
ENRG_KALGOORLIE_GT3,ENRG,WEST_KALGOORLIE_GT3,ENRG_KALGOORLIE_GT3
ENRG_KCP_EG1,ENRG,PPP_KCP_EG1,ENRG_KCP_EG1
ENRG_STHRNCRS_IL,ENRG,STHRNCRS_IL,ENRG_STHRNCRS_IL
BLAIRFOX_KARAKIN_WF1,ENRG,BLAIRFOX_KARAKIN_WF1,BLAIRFOX_KARAKIN_WF1
KORL_GT1,KORL,KWINANA_GT1,KORL_GT1
ALCOA_KW_IL,ENRG,ALCOA_KW_IL,ALCOA_KW_IL
BLAIRFOX_WESTHILLS_WF3,ENRG,BLAIRFOX_WESTHILLS_WF3,BLAIRFOX_WESTHILLS_WF3
WAPL_WORSLEY_IL1,ENRG,WAPL_WORSLEY_IL1,WAPL_WORSLEY_IL1
ALCOA_WGP_IL,ENRG,ALCOA_WGP_IL,ALCOA_WGP_IL
TESLA_KEMERTON_G1,ENRG,TESLA_KEMERTON_G1,TESLA_KEMERTON_G1
SWCJV_WORSLEY_COGEN_COG1,ENRG,SWCJV_WORSLEY_COGEN_COG1,SWCJV_WORSLEY_COGEN_COG1
KALBARRI_WF1,GW,KALBARRI_WF1,KALBARRI_WF1
GREENOUGH_RIVER_PV1,GW,GREENOUGH_RIVER_PV1,GREENOUGH_RIVER_PV1
